Platform,Title,Instructor_Partner,Description,Rating,Reviews,Price,Details,URL
Udemy,Java SE 11 Developer 1Z0-819 OCP Course - Part 1 Getting Java Certified is great for your career. Acquire the skills to pass the Oracle Java certification exam!,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",Getting Java Certified is great for your career. Acquire the skills to pass the Oracle Java certification exam!,"Rating: 4.6 out of 5 4.6 (4,336)",nan,Current price $149.99,12.5 total hours 134 lectures Intermediate,nan
Udemy,AZ-800 Course Administering Windows Server Hybrid Core Inf. Get prepared for the AZ-800 exam with instructor led labs and hands on simulations available 24/7,"John Christopher | 490,000+ enrollments",Get prepared for the AZ-800 exam with instructor led labs and hands on simulations available 24/7,"Rating: 4.7 out of 5 4.7 (4,320)",nan,Current price $59.99,21 total hours 155 lectures All Levels,nan
Udemy,ISO 27001 Lead Auditor course (27001 :2022) ISO 27001 Lead Auditor course (27001 :2022),Hemang Doshi,ISO 27001 Lead Auditor course (27001 :2022),"Rating: 4.4 out of 5 4.4 (4,301)",nan,Current price $19.99,2 total hours 30 lectures All Levels,nan
Udemy,"Deploying Your First Resources in Azure Learn How to Create Resource Groups, Virtual Networks, Storage Accounts, VMs, and More in Microsoft Azure","Thomas Mitchell | 239,000+ Students Taught, labITout Learning","Learn How to Create Resource Groups, Virtual Networks, Storage Accounts, VMs, and More in Microsoft Azure","Rating: 4.4 out of 5 4.4 (4,266)",nan,Current price $19.99,1 total hour 19 lectures Beginner,nan
Udemy,Python Basics Course Get certified in Python with the most visualised and hands-on Python course ever,"Mumshad Mannambeth, KodeKloud Training",Get certified in Python with the most visualised and hands-on Python course ever,"Rating: 4.5 out of 5 4.5 (4,244)",nan,Current price $39.99,1.5 total hours 78 lectures Beginner,nan
Udemy,Cisco NEW CCNA R/S (200-125): The Complete Course This NEW CISCO course is all you need to prepare & pass Cisco's new CCNA R/S 200-125 certification exam,Lazaro (Laz) Diaz,This NEW CISCO course is all you need to prepare & pass Cisco's new CCNA R/S 200-125 certification exam,"Rating: 4.6 out of 5 4.6 (4,239)",nan,Current price $19.99,23.5 total hours 157 lectures All Levels,nan
Udemy,Databricks Certified Data Engineer Professional -Preparation UPDATED: V30 Nov 2025 | Preparation for Databricks Data Engineer Professional certification exam with hands-on training,"Derar Alhussein | 10x Databricks Certified, Acadford ™",UPDATED: V30 Nov 2025 | Preparation for Databricks Data Engineer Professional certification exam with hands-on training,"Rating: 4.6 out of 5 4.6 (4,228)",nan,Current price $49.99,5 total hours 58 lectures Expert,nan
Udemy,"Introduction to Scaled Agile Framework® (Latest SAFe® 6.0) 20,000+ Students Enrolled, Scaling Agile Excellence with SAFe® - Business Agility",GenMan Solutions,"20,000+ Students Enrolled, Scaling Agile Excellence with SAFe® - Business Agility","Rating: 4.5 out of 5 4.5 (4,198)",nan,Current price $22.99,1.5 total hours 19 lectures All Levels,nan
Udemy,Oracle PL/SQL is My Game: EXAM 1Z0-149 Become Oracle PL/SQL Developer / Covers ORACLE university track 100%. All the presentations & scripts are attached,Khaled Alkhudari,Become Oracle PL/SQL Developer / Covers ORACLE university track 100%. All the presentations & scripts are attached,"Rating: 4.5 out of 5 4.5 (4,160)",nan,Current price $119.99,22 total hours 221 lectures All Levels,nan
Udemy,"Google Cloud Associate Cloud Engineer Practice Tests By the author of the Official Study Guides for the Cloud Engineer, Architect, and Data Engineer exams.",Dan Sullivan,"By the author of the Official Study Guides for the Cloud Engineer, Architect, and Data Engineer exams.","Rating: 4.3 out of 5 4.3 (4,136)",nan,Current price $49.99,150 questions All Levels,nan
Udemy,Six Sigma: Lean Six Sigma Black Belt (Part 2) (Accredited) Six Sigma Black Belt - P2 (Accredited) | Analyze & Improve Phase | Lean Six Sigma Black Belt Certification | Earn PDUs,Advanced Innovation Group Pro Excellence (AIGPE),Six Sigma Black Belt - P2 (Accredited) | Analyze & Improve Phase | Lean Six Sigma Black Belt Certification | Earn PDUs,"Rating: 4.7 out of 5 4.7 (4,131)",nan,Current price $79.99,2 total hours 43 lectures Expert,nan
Udemy,Complete Salesforce Certified Platform Developer I Course Learn and get your Developer I Certification!,Walid El Horr,Learn and get your Developer I Certification!,"Rating: 4.4 out of 5 4.4 (4,091)",nan,Current price $74.99,16.5 total hours 90 lectures All Levels,nan
Udemy,Tableau Desktop Specialist Certification Prep Practice Exams | Study Guide | Practice Exercises | Transform and Visualize Data with Tableau Desktop | 2023 Updates,Lukas Halim,Practice Exams | Study Guide | Practice Exercises | Transform and Visualize Data with Tableau Desktop | 2023 Updates,"Rating: 4.6 out of 5 4.6 (4,071)",nan,Current price $84.99,3 total hours 51 lectures All Levels,nan
Udemy,CompTIA Security+ SY0-601 Lab Course with Simulations/PBQ Pass your Security+ SY0-601 exam on the first try with a lab base approach to learning. Tons of labs.,"TIA Education, Andrew Ramdayal",Pass your Security+ SY0-601 exam on the first try with a lab base approach to learning. Tons of labs.,"Rating: 4.3 out of 5 4.3 (4,053)",nan,Current price $79.99,24.5 total hours 207 lectures All Levels,nan
Udemy,"JavaScript Data Structures & Algorithms + LEETCODE Exercises DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!",Scott Barrett,"DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!","Rating: 4.7 out of 5 4.7 (3,956)",nan,Current price $69.99,9.5 total hours 136 lectures All Levels,nan
Udemy,"MS-900 Exam Prep: Microsoft 365 Fundamentals Course Prepare for the Microsoft 365 Fundamentals Exam with this Complete MS-900 Course, 75-Page Guide, and Practice Test","Thomas Mitchell | 239,000+ Students Taught, labITout Learning","Prepare for the Microsoft 365 Fundamentals Exam with this Complete MS-900 Course, 75-Page Guide, and Practice Test","Rating: 4.6 out of 5 4.6 (3,926)",nan,Current price $64.99,3 total hours 68 lectures Beginner,nan
Udemy,Java Certification : OCA (1Z0-808) Exam Simulation [2026] Master the essentials to pass the Oracle Certified Associate(OCA): Java SE 8 Programmer I EXAM,Udayan Khattry,Master the essentials to pass the Oracle Certified Associate(OCA): Java SE 8 Programmer I EXAM,"Rating: 4.2 out of 5 4.2 (3,922)",nan,Current price $89.99,424 questions All Levels,nan
Udemy,CISM Certification: CISM Domain 2 Video Boot Camp 2025 Certified Information Security Manager (CISM) Domain 2 - Get 8.5 hours of videos and downloadable study guides.,"Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support",Certified Information Security Manager (CISM) Domain 2 - Get 8.5 hours of videos and downloadable study guides.,"Rating: 4.7 out of 5 4.7 (3,920)",nan,Current price $79.99,7.5 total hours 54 lectures All Levels,nan
Udemy,The Complete Linux (RHCSA - EX200) Certification Course This course is for anyone aiming to Pass the EX200 Exam & become a Linux Red Hat Certified System Administrator (RHCSA).,"Mo Khalil, CloudsArk Academy",This course is for anyone aiming to Pass the EX200 Exam & become a Linux Red Hat Certified System Administrator (RHCSA).,"Rating: 4.0 out of 5 4.0 (3,900)",nan,Current price $74.99,14 total hours 93 lectures Beginner,nan
Udemy,AWS Certified Developer Associate Practice Exams Be an AWS Certified Developer! Covers AWS Certified Developer topics to pass the AWS Certified Developer Associate exam!,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Carlo Acebedo | AWS Certified Developer Associate | AWS Professional",Be an AWS Certified Developer! Covers AWS Certified Developer topics to pass the AWS Certified Developer Associate exam!,"Rating: 4.4 out of 5 4.4 (3,898)",nan,Current price $74.99,335 questions All Levels,nan
Udemy,Mock Exams Product Owner Certification 2026 - 800 Questions UNOFFICIAL Practice Tests to Prepare for Product Owner Certification Exams,Ludovic LARRY (PSM I / PSM II / PSPO I / PSPO II),UNOFFICIAL Practice Tests to Prepare for Product Owner Certification Exams,"Rating: 4.7 out of 5 4.7 (3,847)",nan,Current price $69.99,800 questions All Levels,nan
Udemy,"Getting Started with Okta How to Configure, Integrate, and Manage Okta","Thomas Mitchell | 239,000+ Students Taught, labITout Learning","How to Configure, Integrate, and Manage Okta","Rating: 4.7 out of 5 4.7 (3,846)",nan,Current price $64.99,2.5 total hours 53 lectures Beginner,nan
Udemy,Practice Exam AWS Certified Solutions Architect Professional Prepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Prepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!,"Rating: 4.3 out of 5 4.3 (3,818)",nan,Current price $59.99,180 questions Expert,nan
Udemy,"Google Cloud Certifications: All in one Bundle 430k Subs -Digital Leader, Cloud Engineer, Machine Learning, Architect, Developer, DevOps Engineer, Security Engineer","Google Cloud Experts Cloud Architect, Google Cloud Platform Gurus !","430k Subs -Digital Leader, Cloud Engineer, Machine Learning, Architect, Developer, DevOps Engineer, Security Engineer","Rating: 4.2 out of 5 4.2 (3,814)",nan,Current price $74.99,67.5 total hours 642 lectures All Levels,nan
Udemy,Six Sigma: Lean Six Sigma Black Belt (Part 3) (Accredited) Six Sigma Black Belt - P3 (Accredited) | Improve & Control Phase | Lean Six Sigma Black Belt Certification | Earn PDUs,Advanced Innovation Group Pro Excellence (AIGPE),Six Sigma Black Belt - P3 (Accredited) | Improve & Control Phase | Lean Six Sigma Black Belt Certification | Earn PDUs,"Rating: 4.7 out of 5 4.7 (3,778)",nan,Current price $84.99,2.5 total hours 64 lectures Expert,nan
Udemy,AWS Certified Developer Associate Practice Exams DVA-C02 [2026] AWS Certified Developer Associate 6 Practice Tests | 390 Practice Exam Questions | Exam Simulator + Explanations,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",[2026] AWS Certified Developer Associate 6 Practice Tests | 390 Practice Exam Questions | Exam Simulator + Explanations,"Rating: 4.0 out of 5 4.0 (3,767)",nan,Current price $74.99,390 questions Beginner,nan
Udemy,"The Absolute Beginners Guide to Information Technology 2026 Gain a solid foundation on all branches of IT including hardware, software, networks, programming, cyber security and AI",Alexander Oni,"Gain a solid foundation on all branches of IT including hardware, software, networks, programming, cyber security and AI","Rating: 4.6 out of 5 4.6 (3,764)",nan,Current price $99.99,5 total hours 59 lectures Beginner,nan
Udemy,AWS Certified Cloud Practitioner Mock Exams CLF-C02 2026 Be an AWS Certified Cloud Practitioner! AWS Cloud Practitioner Practice Tests CLF-C02 with Explanations,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Tutorials Dojo Support",Be an AWS Certified Cloud Practitioner! AWS Cloud Practitioner Practice Tests CLF-C02 with Explanations,"Rating: 4.7 out of 5 4.7 (3,742)",nan,Current price $69.99,340 questions Beginner,nan
Udemy,[NEW] AWS Certified Solutions Architect - Associate 2026 All you need to master AWS Solutions Architect - Associate (SAA-C03) certification,Zeal Vora,All you need to master AWS Solutions Architect - Associate (SAA-C03) certification,"Rating: 4.6 out of 5 4.6 (3,742)",nan,Current price $19.99,35.5 total hours 290 lectures Beginner,nan
Udemy,"Clear and Simple VMware vSphere 6.5 Foundations VCP - Part 1 Want to learn about VMware vSphere? This course is full of demos, diagrams, and clear explanations of vSphere concepts.",Rick Crisci,"Want to learn about VMware vSphere? This course is full of demos, diagrams, and clear explanations of vSphere concepts.","Rating: 4.7 out of 5 4.7 (3,730)",nan,Current price $39.99,5 total hours 46 lectures Beginner,nan
Udemy,HashiCorp Certified: Vault Associate 003 (w/ Hands-On Labs) Learn how to Deploy and Manage HashiCorp Vault while preparing for the HashiCorp Certified Vault Associate certification,"Bryan Krausen • 200,000+ Enrollments Worldwide",Learn how to Deploy and Manage HashiCorp Vault while preparing for the HashiCorp Certified Vault Associate certification,"Rating: 4.7 out of 5 4.7 (3,712)",nan,Current price $74.99,15.5 total hours 139 lectures All Levels,nan
Udemy,"Databricks Certified Data Engineer Associate Practice Exams Practice Exams Databricks Certified Data Engineer Associate both for V2 and V3 exams, 5 Exams with detailed explanations",Akhil R,"Practice Exams Databricks Certified Data Engineer Associate both for V2 and V3 exams, 5 Exams with detailed explanations","Rating: 4.3 out of 5 4.3 (3,705)",nan,Current price $49.99,225 questions Intermediate,nan
Udemy,"Microsoft Entra ID: An Introduction to Entra ID (Azure AD) An Intro to Entra ID (formerly Azure AD) via Interactive Labs, Demos, Lectures, Flashcards, 200 Downloadable Slides","Thomas Mitchell | 239,000+ Students Taught","An Intro to Entra ID (formerly Azure AD) via Interactive Labs, Demos, Lectures, Flashcards, 200 Downloadable Slides","Rating: 4.6 out of 5 4.6 (3,702)",nan,Current price $54.99,4.5 total hours 65 lectures Beginner,nan
Udemy,"Basic AWS Architecture Best Practices - 1 Hour Crash Course Learn High-level AWS design best practices including cost management, serverless, databases, availability, and much more",Rick Crisci,"Learn High-level AWS design best practices including cost management, serverless, databases, availability, and much more","Rating: 4.6 out of 5 4.6 (3,693)",nan,Current price $34.99,2 total hours 17 lectures All Levels,nan
Udemy,"COBIT® 2019 Foundation - official, accredited Prepare for your COBIT 2019® Foundation certificate and manage your IT with confidence.",Ludmila Vrazelova,Prepare for your COBIT 2019® Foundation certificate and manage your IT with confidence.,"Rating: 4.6 out of 5 4.6 (3,682)",nan,Current price $69.99,4.5 total hours 24 lectures Beginner,nan
Udemy,"Dynamics 365 Core Finance and Operations (Part 1/2) MB300|MB310|MB330, Microsoft Dynamics 365, D365 Finance and Operations, Finance and Operations, D365 FnO, Dynamics AX",Learn Dynamics,"MB300|MB310|MB330, Microsoft Dynamics 365, D365 Finance and Operations, Finance and Operations, D365 FnO, Dynamics AX","Rating: 4.5 out of 5 4.5 (3,663)",nan,Current price $69.99,4 total hours 53 lectures Beginner,nan
Udemy,AWS Certified CloudOps Engineer Associate Practice Exams Be an AWS CloudOps Engineer! AWS Certified SysOps Administrator Mock Exams with SOA-C03 questions & explanations!,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",Be an AWS CloudOps Engineer! AWS Certified SysOps Administrator Mock Exams with SOA-C03 questions & explanations!,"Rating: 4.3 out of 5 4.3 (3,649)",nan,Current price $64.99,325 questions All Levels,nan
Udemy,Python For Beginners Course In-Depth Python: A Comprehensive Introduction to Fundamental Python Concepts and the Python Advanced Programming Concepts,Horizon Tech,Python: A Comprehensive Introduction to Fundamental Python Concepts and the Python Advanced Programming Concepts,"Rating: 4.2 out of 5 4.2 (3,645)",nan,Current price $44.99,7 total hours 83 lectures Beginner,nan
Udemy,Salesforce Agentforce Specialist Certification Pass your Agentforce Specialist Certification| Elevate Your Salesforce Skills with Cutting-Edge AI Solutions,Deepika Khanna,Pass your Agentforce Specialist Certification| Elevate Your Salesforce Skills with Cutting-Edge AI Solutions,"Rating: 4.6 out of 5 4.6 (3,646)",nan,Current price $54.99,8.5 total hours 77 lectures All Levels,nan
Udemy,Azure Administrator: AZ-104 AZ-104 Certification,Kevin Brown,AZ-104 Certification,"Rating: 4.7 out of 5 4.7 (3,642)",nan,Current price $79.99,16 total hours 168 lectures Intermediate,nan
Udemy,Enterprise Architecture Foundation with the TOGAF Standard Biggest & best course for TOGAF Foundation (10th) | All-in-one pack to pass the part 1 exam | Learn from 2 EA experts,"Dr. Christopher Schulz, Tobias Smuda",Biggest & best course for TOGAF Foundation (10th) | All-in-one pack to pass the part 1 exam | Learn from 2 EA experts,"Rating: 4.5 out of 5 4.5 (3,645)",nan,Current price $49.99,6 total hours 86 lectures All Levels,nan
Udemy,Snowflake SnowPro Core Certification Practice Tests COF-C02 Maximize your chances of SnowPro core certification success with 700+ up-to-date questions. Trusted by 24000+ students.,Hamid Qureshi,Maximize your chances of SnowPro core certification success with 700+ up-to-date questions. Trusted by 24000+ students.,"Rating: 4.5 out of 5 4.5 (3,627)",nan,Current price $59.99,743 questions All Levels,nan
Udemy,ISC2 Certified in Cybersecurity (CC) Full Practice Exams '26 Pass your ISC2 Certified in Cybersecurity (CC) Exam on the first attempt!,"Paulo Carreira • PhD, CISSP, CDPO, Andree Miranda • CISSP",Pass your ISC2 Certified in Cybersecurity (CC) Exam on the first attempt!,"Rating: 4.6 out of 5 4.6 (3,626)",nan,Current price $59.99,600 questions Beginner,nan
Udemy,Prepare for the Salesforce Platform Foundations Cert Exam Take your Salesforce Skills to the Next Level!,"Emily Call, MBA, Jeremy Call, MSDA",Take your Salesforce Skills to the Next Level!,"Rating: 4.4 out of 5 4.4 (3,598)",nan,Current price $54.99,5.5 total hours 105 lectures Beginner,nan
Udemy,Practice Test AWS Solutions Architect Associate SAA C03 2025 NEW SAA C03 Questions: Gain Substantial Insight to Pass the Certification Exam with Confidence!,"Chandra Lingam, Compute with Cloud Support",2025 NEW SAA C03 Questions: Gain Substantial Insight to Pass the Certification Exam with Confidence!,"Rating: 4.4 out of 5 4.4 (3,550)",nan,Current price $84.99,13.5 total hours 165 lectures All Levels,nan
Udemy,AZ-900: Microsoft Azure Fundamentals Video Course AZ-900 Exam: Microsoft Azure Fundamentals || 15+ hours of videos || 100% Syllabus || PPTs || Demos,Saurabh Gupta || CloudGita || AZ-900 || AZ-104 || AWS Certified Cloud Practitioner,AZ-900 Exam: Microsoft Azure Fundamentals || 15+ hours of videos || 100% Syllabus || PPTs || Demos,"Rating: 4.6 out of 5 4.6 (3,548)",nan,Current price $59.99,16.5 total hours 229 lectures Beginner,nan
Udemy,"DP-300 prep: Azure Database Administrator Associate (DBA) Learn DBA skills for Azure SQL Databases, SQL Managed Instances and SQL Server on Azure Virtual Machines. Exam DP-300","Phillip Burton • over one million students so far, I Do Data Limited","Learn DBA skills for Azure SQL Databases, SQL Managed Instances and SQL Server on Azure Virtual Machines. Exam DP-300","Rating: 4.6 out of 5 4.6 (3,548)",nan,Current price $59.99,17.5 total hours 172 lectures Beginner,nan
Udemy,Microsoft AZ-303 Certification: Azure Architect Technologies Everything you need to know to pass the most in-demand Microsoft Azure certification!,"Refactored LLC, Nick Colyer",Everything you need to know to pass the most in-demand Microsoft Azure certification!,"Rating: 4.4 out of 5 4.4 (3,508)",nan,Current price $74.99,25 total hours 257 lectures Intermediate,nan
Udemy,NetSuite Functional Ultimate Guide and Complete Course Learn NetSuite with this Complete Ultimate Guide to learning NetSuite as a Functional User/Consultant.,Iyad Alghamdi,Learn NetSuite with this Complete Ultimate Guide to learning NetSuite as a Functional User/Consultant.,"Rating: 4.5 out of 5 4.5 (3,507)",nan,Current price $59.99,4.5 total hours 24 lectures Beginner,nan
Udemy,"Kubernetes Made Easy: Learn Kubernetes From Scratch Learn Kubernetes From Scratch. Learn how to Build, Deploy, Scale & Manage Kubernetes in easy Step-by-Step.",Srinath Challa,"Learn Kubernetes From Scratch. Learn how to Build, Deploy, Scale & Manage Kubernetes in easy Step-by-Step.","Rating: 4.3 out of 5 4.3 (3,504)",nan,Current price $59.99,15 total hours 59 lectures All Levels,nan
Udemy,CCNA Security 2019 210-260 Video Boot Camp With Chris Bryant Earn Your CCNA Security 210-260 Certification AND Prepare For Real-World Networking Success!,Chris Bryant,Earn Your CCNA Security 210-260 Certification AND Prepare For Real-World Networking Success!,"Rating: 4.7 out of 5 4.7 (3,460)",nan,Current price $64.99,62 total hours 464 lectures Beginner,nan
Udemy,Databricks Certified Data Engineer Associate - Ultimate Prep UPDATED JULY 2025 Syllabus | Full Coverage of Databricks Certified Data Engineer Associate Exam | Full Practice Test,"Ramesh Retnasamy . 200,000+ Learners",UPDATED JULY 2025 Syllabus | Full Coverage of Databricks Certified Data Engineer Associate Exam | Full Practice Test,"Rating: 4.7 out of 5 4.7 (3,454)",nan,Current price $19.99,20 total hours 144 lectures All Levels,nan
Udemy,Mock Exams Scrum Master Certification 2026 - 800 Questions UNOFFICIAL Practice Tests to Prepare for Scrum Master Certification Exams,Ludovic LARRY (PSM I / PSM II / PSPO I / PSPO II),UNOFFICIAL Practice Tests to Prepare for Scrum Master Certification Exams,"Rating: 4.9 out of 5 4.9 (3,422)",nan,Current price $64.99,800 questions All Levels,nan
Udemy,AWS Certified Cloud Practitioner Pass your Cloud Practitioner certification Exam.,Alan Rodrigues,Pass your Cloud Practitioner certification Exam.,"Rating: 4.5 out of 5 4.5 (3,370)",nan,Current price $84.99,10 total hours 164 lectures All Levels,nan
Udemy,IT Asset Management (ITAM)— Software Asset Management Learn IT Asset Management (ITAM) — Software Asset Management From Basics To Advanced,Magine Solutions Team,Learn IT Asset Management (ITAM) — Software Asset Management From Basics To Advanced,"Rating: 4.5 out of 5 4.5 (3,368)",nan,Current price $44.99,4.5 total hours 46 lectures All Levels,nan
Udemy,AZ-900: Azure Fundamentals Exam Prep 2026 Pass the AZ-900 exam with ease || Become Azure Fundamentals Certified,Nikolai Schuler,Pass the AZ-900 exam with ease || Become Azure Fundamentals Certified,"Rating: 4.7 out of 5 4.7 (3,366)",nan,Current price $59.99,8.5 total hours 148 lectures All Levels,nan
Udemy,Certified Kubernetes Administrator 2026 Master Course to prepare for Certified Kubernetes Administrator certification.,Zeal Vora,Master Course to prepare for Certified Kubernetes Administrator certification.,"Rating: 4.7 out of 5 4.7 (3,330)",nan,Current price $24.99,25.5 total hours 172 lectures Intermediate,nan
Udemy,"F5 Certified Administrator(F5CA, BIGIP) F5CAB1/F5CAB2/F5CAB3 Learn Networking, Linux, Application, Load Balancer! First step to acquire F5 Certified Administrator(F5CA, BIGIP)",Dean Armada,"Learn Networking, Linux, Application, Load Balancer! First step to acquire F5 Certified Administrator(F5CA, BIGIP)","Rating: 4.6 out of 5 4.6 (3,299)",nan,Current price $74.99,17.5 total hours 145 lectures All Levels,nan
Udemy,Clear and Simple VMware vSphere 7 Professional VCP 2V0-21.20 Prepare for the VMware VCP-DCV 2021 2V0-21.20 exam. Learn all about vSphere version 7 and how to manage it.,Rick Crisci,Prepare for the VMware VCP-DCV 2021 2V0-21.20 exam. Learn all about vSphere version 7 and how to manage it.,"Rating: 4.6 out of 5 4.6 (3,297)",nan,Current price $84.99,13.5 total hours 107 lectures Intermediate,nan
Udemy,Salesforce Sales Cloud Consultant Certification Course Salesforce Sales Cloud Consultants are in demand. Take your Salesforce Career to the Next Level and Become a Consultant.,"Rapid Reskill by Mike Wheeler, Aaron Wheeler, Evan Wheeler",Salesforce Sales Cloud Consultants are in demand. Take your Salesforce Career to the Next Level and Become a Consultant.,"Rating: 4.1 out of 5 4.1 (3,286)",nan,Current price $74.99,11 total hours 105 lectures Intermediate,nan
Udemy,Microsoft 365 Administration course with hands on sims Learn how to expertly administer Microsoft 365 with lecture and hands on simulations available 24/7,"John Christopher | 490,000+ enrollments",Learn how to expertly administer Microsoft 365 with lecture and hands on simulations available 24/7,"Rating: 4.7 out of 5 4.7 (3,279)",nan,Current price $69.99,10 total hours 71 lectures All Levels,nan
Udemy,"GRC - Governance, Risk & Compliance Professional Masterclass The Most Comprehensive GRC Training from Beginner to Advanced, Updated for 2026 frameworks + Study Notes &amp; 25 Quiz!","Cyvitrix Learning | Cybersecurity, GRC & Audit Training","The Most Comprehensive GRC Training from Beginner to Advanced, Updated for 2026 frameworks + Study Notes & 25 Quiz!","Rating: 4.6 out of 5 4.6 (3,257)",nan,Current price $54.99,29 total hours 177 lectures All Levels,nan
Udemy,Google Cloud (GCP) for Beginners - The basics in 4 hours! Updated 2024! Learn Google Cloud (GCP) on your browser with no prior knowledge required. Includes hands on demos!,Rick Crisci,Updated 2024! Learn Google Cloud (GCP) on your browser with no prior knowledge required. Includes hands on demos!,"Rating: 4.6 out of 5 4.6 (3,243)",nan,Current price $19.99,4 total hours 35 lectures Beginner,nan
Udemy,CompTIA Tech+ Complete Course (FC0-U71) Everything you need to know to pass the CompTIA Tech+ exam! Fully updated for the 2025 exam!,"Mike Chapple, Ph.D.",Everything you need to know to pass the CompTIA Tech+ exam! Fully updated for the 2025 exam!,"Rating: 4.6 out of 5 4.6 (3,221)",nan,Current price $59.99,4 total hours 70 lectures Beginner,nan
Udemy,Scrum Master 2 Certification - 6 Practice Tests - Advanced [2025] Exam preparation for PSM 2. Pass in the first try. 6 Practice Tests for PSM II. 210 Questions with Explanation,AGILE INSTRUCTORS,[2025] Exam preparation for PSM 2. Pass in the first try. 6 Practice Tests for PSM II. 210 Questions with Explanation,"Rating: 4.7 out of 5 4.7 (3,221)",nan,Current price $64.99,210 questions All Levels,nan
Udemy,AI-900: Microsoft Azure AI Fundamentals AI-900 Practice Test AI-900 Exam Prep | 100% Original AI 900 Practice Tests | Created by Certified Microsoft Trainer | Pass your AI900 Exam,"Video School, TechLab Guru, Phil Ebiner",AI-900 Exam Prep | 100% Original AI 900 Practice Tests | Created by Certified Microsoft Trainer | Pass your AI900 Exam,"Rating: 4.5 out of 5 4.5 (3,188)",nan,Current price $19.99,120 questions Beginner,nan
Udemy,ISTQB Certified Tester Foundation Level Training (CTFL) ISTQB Certified Tester Foundation Level Training (CTFL) Course,Helping Tester,ISTQB Certified Tester Foundation Level Training (CTFL) Course,"Rating: 4.2 out of 5 4.2 (3,170)",nan,Current price $19.99,10.5 total hours 65 lectures All Levels,nan
Udemy,LPI Linux Essentials 010-160 (6 Practice Exams) Full-length LPI Linux Essentials Timed Tests ** 40 Questions Each & 240 Questions Total (With feedback on each question),"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jamario Kelly, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Full-length LPI Linux Essentials Timed Tests ** 40 Questions Each & 240 Questions Total (With feedback on each question),"Rating: 4.6 out of 5 4.6 (3,167)",nan,Current price $79.99,240 questions Beginner,nan
Udemy,Scrum Master Exam Prep Scrum Master Exam Cram Session,Joseph Phillips,Scrum Master Exam Cram Session,"Rating: 4.7 out of 5 4.7 (3,150)",nan,Current price $69.99,3 total hours 42 lectures All Levels,nan
Udemy,MuleSoft (Mule4) for Beginners/Developers | Mule ESB | Mule Step-by-Step for Beginners (DIY) - Mule4.x - 71+ lectures/demo | 21 hours | MuleSoft Certified Developer | MCD Level1,Arul ChristhuRaj Alphonse,Step-by-Step for Beginners (DIY) - Mule4.x - 71+ lectures/demo | 21 hours | MuleSoft Certified Developer | MCD Level1,"Rating: 4.3 out of 5 4.3 (3,149)",nan,Current price $64.99,20.5 total hours 72 lectures All Levels,nan
Udemy,"Microsoft Dynamics 365 Fundamentals (CRM) - MB-910 Principles behind Dynamics 365 Customer Insights Journeys, Sales, and Customer and Field Service. Covers MB-910 topics.","Phillip Burton • over one million students so far, I Do Data Limited","Principles behind Dynamics 365 Customer Insights Journeys, Sales, and Customer and Field Service. Covers MB-910 topics.","Rating: 4.5 out of 5 4.5 (3,136)",nan,Current price $59.99,6 total hours 76 lectures Beginner,nan
Udemy,Red Hat Training and Certification - RHEL 8/9 (RH124) Prepare for first level of Linux Exam and gain sufficient skill to perform core system administration tasks,Shikhar Verma,Prepare for first level of Linux Exam and gain sufficient skill to perform core system administration tasks,"Rating: 4.4 out of 5 4.4 (3,126)",nan,Current price $69.99,19 total hours 203 lectures Beginner,nan
Udemy,Ermin Kreponic's Course for CentOS and Red Hat Linux - RHCSA Learn the basics of CentOS and Red Hat Linux! Prepare and pass the Red Hat certified system administrator (RHCSA) exam!,"Ermin Kreponic, Aldin Omerdic",Learn the basics of CentOS and Red Hat Linux! Prepare and pass the Red Hat certified system administrator (RHCSA) exam!,"Rating: 4.2 out of 5 4.2 (3,120)",nan,Current price $64.99,16.5 total hours 74 lectures All Levels,nan
